Title,Poet,era,cap_rate,punct_rate,colon_density,concrete_abstract_ratio,adv_verb_ratio,rhyme_rate,archaic_density,uses_rhyme,rhyme_rate_given_uses,uses_colons,colon_density_given_uses,caps_all,cap_rate_given_not_all,high_punct,punct_rate_given_not_all,uses_archaism,archaic_density_given_uses,era_3class
"
                    Koheleth
                ",Louis Untermeyer,Post-1900,1.0,0.5416666666666666,0.8403361344537815,0.2978723404255319,0.1071428571428571,0.1463414634146341,0.0,1,0.1463414634146341,1,0.8403361344537815,1,,0,0.5416666666666666,0,,Post-1900
"
                    Love's Alchemy
                ",John Donne,Pre-1800,1.0,0.9,1.1560693641618496,0.2241379310344827,0.1724137931034483,0.2285714285714285,1.7241379310344829,1,0.2285714285714285,1,1.1560693641618496,1,,1,,1,1.7241379310344829,Pre-1800
"
                    Tin Woman's Lament
                ",Yolanda Wisher,Post-1900,0.0,0.0,0.0,0.8225806451612904,0.8,0.0,0.0,0,,0,,0,0.0,0,0.0,0,,Post-1900
"
                    As If the Trees By Their Very Roots Had Hold of Us
                ",Charles Bernstein,Post-1900,0.875,0.3333333333333333,0.7425742574257426,0.1656441717791411,0.5172413793103449,0.0,0.0,0,,1,0.7425742574257426,0,0.875,0,0.3333333333333333,0,,Post-1900
"
                    There was a little girl
                ",Henry Wadsworth Longfellow,1800-1900,1.0,1.0,0.0,0.1764705882352941,0.2857142857142857,0.1111111111111111,0.0,1,0.1111111111111111,0,,1,,1,,0,,1800-1900
"
                    The Village: Book I
                ",George Crabbe,Pre-1800,0.9938650306748468,0.9447852760736196,4.083845319840982,0.3026315789473684,0.3341288782816229,0.2196721311475409,1.331414177761785,1,0.2196721311475409,1,4.083845319840982,1,,1,,1,1.331414177761785,Pre-1800
"
                    Intimate Geography
                ",Jennifer Maiden,Post-1900,0.1282051282051282,0.3333333333333333,1.6203703703703702,0.1719745222929936,0.4177215189873418,0.0,0.0,0,,1,1.6203703703703702,0,0.1282051282051282,0,0.3333333333333333,0,,Post-1900
"
                    American Roots: Moral Associations
                ",Primus St. John,Post-1900,0.8333333333333334,0.8055555555555556,3.3333333333333335,0.3095238095238095,0.1904761904761904,0.0289855072463768,0.0,1,0.0289855072463768,1,3.3333333333333335,0,0.8333333333333334,0,0.8055555555555556,0,,Post-1900
"
                    Brown Girl Manifesto (Too)
                ",Marilyn Chin,Post-1900,1.0,0.5,0.0,1.0909090909090908,0.1,0.0,0.0,0,,0,,1,,0,0.5,0,,Post-1900
"
                    Battle-Hymn of the Republic
                ",Julia Ward Howe,1800-1900,1.0,1.0,4.878048780487805,0.3188405797101449,0.0638297872340425,0.0,0.966183574879227,0,,1,4.878048780487805,1,,1,,1,0.966183574879227,1800-1900
"
                    The Farmer’s Bride
                ",Charlotte Mew,1800-1900,0.9347826086956522,0.6304347826086957,0.9146341463414632,0.4891304347826087,0.5217391304347826,0.3209876543209876,0.2906976744186046,1,0.3209876543209876,1,0.9146341463414632,0,0.9347826086956522,0,0.6304347826086957,1,0.2906976744186046,1800-1900
"
                    Our Wandering
                ",Dawn Lundy Martin,Post-1900,0.391304347826087,0.6304347826086957,0.2380952380952381,0.5193798449612403,0.2388059701492537,0.0,0.0,0,,1,0.2380952380952381,0,0.391304347826087,0,0.6304347826086957,0,,Post-1900
"
                    Every Job Has a First Day
                ",Rebecca Gayle Howell,Post-1900,0.6,1.0,0.7936507936507936,0.5806451612903226,0.1176470588235294,0.0,0.0,0,,1,0.7936507936507936,0,0.6,1,,0,,Post-1900
"
                    On My First Daughter
                ",Ben Jonson,Pre-1800,1.0,0.9166666666666666,5.333333333333334,0.36,0.1538461538461538,0.2352941176470588,5.0,1,0.2352941176470588,1,5.333333333333334,1,,1,,1,5.0,Pre-1800
"
                    Valentine
                ",Lorna Dee Cervantes,Post-1900,0.1428571428571428,0.25,0.0,0.5208333333333334,0.1052631578947368,0.0,0.0,0,,0,,0,0.1428571428571428,0,0.25,0,,Post-1900
"
                    The Matyó Embroidery
                ",Szilárd Borbély,Post-1900,0.5,1.0,0.684931506849315,0.3876651982378855,0.271523178807947,0.0,0.1322751322751322,0,,1,0.684931506849315,0,0.5,1,,1,0.1322751322751322,Post-1900
"
                    Tam Glen
                ",Robert Burns,Pre-1800,0.9696969696969696,0.9393939393939394,4.072398190045249,0.4736842105263157,0.1489361702127659,0.3,1.7777777777777777,1,0.3,1,4.072398190045249,1,,1,,1,1.7777777777777777,Pre-1800
"
                    Washing the Elephant
                ",Barbara Ras,Post-1900,0.2093023255813953,0.3720930232558139,0.0,0.3202614379084967,0.3666666666666666,0.0,0.0,0,,0,,0,0.2093023255813953,0,0.3720930232558139,0,,Post-1900
"
                    The Presence
                ",Odysseus Elytis,Post-1900,0.5757575757575758,0.5454545454545454,3.245942571785269,0.4553571428571428,0.2435897435897435,0.0085470085470085,0.0,1,0.0085470085470085,1,3.245942571785269,0,0.5757575757575758,0,0.5454545454545454,0,,Post-1900
"
                    Cold Open
                ",Danniel Schoonebeek,Post-1900,0.2857142857142857,0.9642857142857144,0.0,0.6511627906976745,0.1129032258064516,0.0,0.0,0,,0,,0,0.2857142857142857,1,,0,,Post-1900
"
                    A Sweet Nosegay, or Pleasant Poesy, Containing a Hundred and Ten Philosophical Flowers
                ",Isabella Whitney,Pre-1800,0.5357142857142857,0.5357142857142857,1.162790697674419,0.1935483870967742,0.2195121951219512,0.0851063829787234,6.976744186046512,1,0.0851063829787234,1,1.162790697674419,0,0.5357142857142857,0,0.5357142857142857,1,6.976744186046512,Pre-1800
"
                    Don't Cheapen Yourself
                ",Jana Harris,Post-1900,0.3846153846153846,0.5897435897435898,0.4784688995215311,1.0227272727272727,0.119047619047619,0.0,0.0,0,,1,0.4784688995215311,0,0.3846153846153846,0,0.5897435897435898,0,,Post-1900
"
                    Sonnet 3: Look in thy glass and tell the face thou viewest
                ",William Shakespeare,Pre-1800,1.0,0.7857142857142857,0.8695652173913043,0.2857142857142857,0.4117647058823529,0.3,15.254237288135592,1,0.3,1,0.8695652173913043,1,,0,0.7857142857142857,1,15.254237288135592,Pre-1800
"
                    Synopsis for a German Novella
                ",John Fuller,Post-1900,1.0,0.6,0.2450980392156862,0.4117647058823529,0.3134328358208955,0.0,0.0,0,,1,0.2450980392156862,1,,0,0.6,0,,Post-1900
"
                    Memorial Day
                ",Reginald Gibbons,Post-1900,0.1047619047619047,0.2285714285714285,0.4301075268817204,0.4285714285714285,0.4647887323943662,0.0106951871657754,0.0,1,0.0106951871657754,1,0.4301075268817204,0,0.1047619047619047,0,0.2285714285714285,0,,Post-1900
"
                    No More
                ",Vanessa Place,Post-1900,1.0,1.0,1.7045454545454544,0.25,1.105263157894737,0.0,0.0,0,,1,1.7045454545454544,1,,1,,0,,Post-1900
"
                    Marriage
                ",Mary Elizabeth Coleridge,1800-1900,1.0,1.0,1.2658227848101269,1.0,0.5,0.2727272727272727,6.25,1,0.2727272727272727,1,1.2658227848101269,1,,1,,1,6.25,1800-1900
"
                    The Day of Gifts
                ",Paul Claudel,1800-1900,1.0,0.9565217391304348,0.5405405405405406,0.2447552447552447,0.4032258064516129,0.0512820512820512,0.0,1,0.0512820512820512,1,0.5405405405405406,1,,1,,0,,1800-1900
"
                    The Kiss
                ",Kurt Brown,Post-1900,1.0,1.0,0.0,0.6923076923076923,0.2727272727272727,0.0,0.0,0,,0,,1,,1,,0,,Post-1900
"
                    A Song on the End of the World
                ",Czeslaw Milosz,Post-1900,1.0,0.6296296296296297,0.5128205128205128,0.5151515151515151,0.4411764705882353,0.0204081632653061,0.0,1,0.0204081632653061,1,0.5128205128205128,1,,0,0.6296296296296297,0,,Post-1900
"
                    The Jewish Cemetery at Newport
                ",Henry Wadsworth Longfellow,1800-1900,0.967741935483871,0.5483870967741935,1.3245033112582782,0.2752808988764045,0.3870967741935484,0.2156862745098039,0.6607929515418502,1,0.2156862745098039,1,1.3245033112582782,1,,0,0.5483870967741935,1,0.6607929515418502,1800-1900
"
                    Cozy Apologia
                ",Rita Dove,Post-1900,1.0,0.5,2.727272727272727,0.4383561643835616,0.2894736842105263,0.0,0.0,0,,1,2.727272727272727,1,,0,0.5,0,,Post-1900
"
                    To Autumn
                ",John Keats,1800-1900,0.96,0.6,3.6011080332409975,0.3442622950819672,0.3636363636363636,0.1388888888888889,4.232804232804233,1,0.1388888888888889,1,3.6011080332409975,1,,0,0.6,1,4.232804232804233,1800-1900
"
                    Flickering
                ",David Rivard,Post-1900,0.0833333333333333,0.3611111111111111,0.6896551724137931,0.4629629629629629,0.35,0.0172413793103448,0.0,1,0.0172413793103448,1,0.6896551724137931,0,0.0833333333333333,0,0.3611111111111111,0,,Post-1900
"
                    Wheal Emma Leat
                ",Tony Lopez,Post-1900,0.2364864864864864,0.3108108108108108,0.4484304932735426,0.6090534979423868,0.2361111111111111,0.0,0.1127395715896279,0,,1,0.4484304932735426,0,0.2364864864864864,0,0.3108108108108108,1,0.1127395715896279,Post-1900
"
                    The Fight in the Meadow
                ",Russell Edson,Post-1900,1.0,1.0,1.276595744680851,0.6447368421052632,0.4117647058823529,0.0,0.0,0,,1,1.276595744680851,1,,1,,0,,Post-1900
"
from Idylls of the King: Song from The Marriage of Geraint
                ","Alfred, Lord Tennyson",1800-1900,1.0,1.0,7.339449541284404,0.5641025641025641,0.1764705882352941,1.0,9.174311926605505,1,1.0,1,7.339449541284404,1,,1,,1,9.174311926605505,1800-1900
"
                    Praise Song for the Day
                ",Elizabeth Alexander,Post-1900,0.4857142857142857,0.7142857142857143,0.3546099290780142,0.5227272727272727,0.1886792452830188,0.0,0.6920415224913495,0,,1,0.3546099290780142,0,0.4857142857142857,0,0.7142857142857143,1,0.6920415224913495,Post-1900
"
                    My Sister's Sleep
                ",Dante Gabriel Rossetti,1800-1900,0.9375,0.5625,3.0690537084398977,0.384,0.2816901408450704,0.0,0.5050505050505051,0,,1,3.0690537084398977,0,0.9375,0,0.5625,1,0.5050505050505051,1800-1900
"
                    The Erotic Philosophers
                ",Carolyn Kizer,Post-1900,0.958904109589041,0.6575342465753424,1.5050167224080269,0.2596153846153846,0.1968503937007874,0.0296296296296296,0.0,1,0.0296296296296296,1,1.5050167224080269,1,,0,0.6575342465753424,0,,Post-1900
"
                    reception. theory.
                ",P. Inman,Post-1900,0.0263157894736842,0.7894736842105263,0.0,0.3043478260869565,0.375,0.0,0.0,0,,0,,0,0.0263157894736842,0,0.7894736842105263,0,,Post-1900
"
                    White Box
                ",Frances Leviston,Post-1900,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0,,0,,1,,0,0.5,0,,Post-1900
"
                    A Barefoot Boy
                ",James Whitcomb Riley,1800-1900,1.0,0.5,0.9523809523809524,0.5,0.5882352941176471,0.2,0.9174311926605504,1,0.2,1,0.9523809523809524,1,,0,0.5,1,0.9174311926605504,1800-1900
"
                    Firstlings
                ",Louise Imogen Guiney,1800-1900,0.875,0.6875,0.8403361344537815,0.4615384615384615,0.1428571428571428,0.3043478260869565,1.694915254237288,1,0.3043478260869565,1,0.8403361344537815,0,0.875,0,0.6875,1,1.694915254237288,1800-1900
"
                    The Mother’s Charge
                ",Charlotte Anna Perkins Gilman,1800-1900,1.0,1.0,0.7117437722419928,0.5675675675675675,0.1739130434782608,0.16,0.3676470588235294,1,0.16,1,0.7117437722419928,1,,1,,1,0.3676470588235294,1800-1900
"
                    Lisbon
                ",Eliza Griswold,Post-1900,0.4,1.0,0.6134969325153374,0.5208333333333334,0.3243243243243243,0.0,0.0,0,,1,0.6134969325153374,0,0.4,1,,0,,Post-1900
"
                    Please, Not That Again
                ",William Trowbridge,Post-1900,0.0909090909090909,0.2727272727272727,1.3245033112582782,0.7209302325581395,0.1111111111111111,0.0454545454545454,0.0,1,0.0454545454545454,1,1.3245033112582782,0,0.0909090909090909,0,0.2727272727272727,0,,Post-1900
"
                    Nephelidia
                ",Algernon Charles Swinburne,1800-1900,0.9230769230769232,0.9230769230769232,1.4251781472684086,0.2107843137254902,0.1372549019607843,0.1176470588235294,0.233644859813084,1,0.1176470588235294,1,1.4251781472684086,0,0.9230769230769232,1,,1,0.233644859813084,1800-1900
"
                    In Memoriam A. H. H. OBIIT MDCCCXXXIII: 72
                ","Alfred, Lord Tennyson",1800-1900,1.0,0.5333333333333333,2.6737967914438503,0.3692307692307692,0.3461538461538461,0.0434782608695652,6.382978723404255,1,0.0434782608695652,1,2.6737967914438503,1,,0,0.5333333333333333,1,6.382978723404255,1800-1900
"
from Each in a Place Apart
                ",James McMichael,Post-1900,0.2968036529680365,0.3881278538812785,0.2873563218390804,0.3842364532019704,0.2633663366336634,0.0,0.0,0,,1,0.2873563218390804,0,0.2968036529680365,0,0.3881278538812785,0,,Post-1900
"
                    Winter Journal: Gold Rivulet Weave, Gauded
                ",Emily Wilson,Post-1900,0.3684210526315789,0.0263157894736842,0.0,0.375,0.2564102564102564,0.0,0.0,0,,0,,0,0.3684210526315789,0,0.0263157894736842,0,,Post-1900
"
                    In Memoriam A. H. H. OBIIT MDCCCXXXIII: 83
                ","Alfred, Lord Tennyson",1800-1900,1.0,0.8888888888888888,2.1505376344086025,0.52,0.3846153846153846,0.0666666666666666,6.25,1,0.0666666666666666,1,2.1505376344086025,1,,0,0.8888888888888888,1,6.25,1800-1900
"
                    Watching dan-/ cers on skates
                ",Lorine Niedecker,Post-1900,0.2857142857142857,0.1428571428571428,5.263157894736842,1.0,0.0,0.0,0.0,0,,1,5.263157894736842,0,0.2857142857142857,0,0.1428571428571428,0,,Post-1900
